day,mean_ote,min_ote,max_ote,p5_ote,p95_ote
183,3783.08723750563,-93002.35850644772,1111662.1379232558,-60235.9992885334,109474.5711607206
184,3803.5854539921306,-93020.863862552,1092540.09168347,-60360.13577799659,109802.7175550756
185,3828.152199808596,-92833.59343260495,1006699.4031743802,-60479.01416479565,110170.3935955345
186,3849.3400963809663,-92993.48212181365,977428.2174518267,-60597.22250827428,110507.15933636135
187,3874.71170432906,-93312.92951117693,961921.6381066758,-60695.129619408755,110920.5727904432
188,3889.2071276003458,-93079.40047357735,1016543.0683833368,-60801.50088113401,111213.81227334673
189,3913.6927587705113,-93614.05256752962,979503.2079314673,-60911.954410442406,111519.19754673944
190,3935.0721078434285,-93595.20818290541,1028414.6517208681,-60997.08827330359,111754.90174533901
191,3947.448550991452,-93014.948696647,997594.8309271523,-61111.69155847426,112158.33455382295
192,3963.4288877897143,-93415.48685368663,967728.7943633927,-61204.53374563541,112624.6865655425
193,3991.2973680165123,-93157.39019896075,924588.4103316284,-61321.10395181738,112883.253737477
194,4002.388080610027,-93063.14523199861,945670.6202985367,-61415.597994154086,113217.43734370267
195,4019.7938426993874,-93341.65949641747,957613.0799929638,-61509.69479188745,113652.70110023272
196,4037.690210893267,-93334.55277680977,923874.7230026892,-61596.97415041775,114089.42312228812
197,4054.707548482146,-93213.60556226154,973771.6405242448,-61701.83362585947,114448.27151048744
198,4076.497018549498,-93271.84180786055,930095.5082167698,-61790.56435954322,114751.42677345472
199,4099.5531595976645,-93444.37359946266,902945.9804653854,-61905.4119537082,114968.9180801129
200,4112.8636119838575,-93154.08217465213,957336.1019128722,-61993.24543350159,115392.75737603636
201,4134.206430584317,-93520.54845387793,972198.9952021128,-62071.091561424735,115824.74859372422
202,4156.7435945646475,-93894.55517999208,924120.099452605,-62197.70127711645,116302.44621339795
203,4179.069196164726,-94286.16901048968,944533.2240560299,-62303.89878971707,116561.66000933122
204,4203.703764013638,-94154.82722904788,1030196.0638191774,-62413.053944165775,116848.79665908199
205,4227.326553864677,-94143.62313580715,1090360.522111532,-62524.060365629644,117365.82492850428
206,4251.405574509084,-93970.30676535924,1160351.5131205644,-62605.47593291453,117617.80454230752
207,4273.652934867546,-94101.88245453565,1202609.1553814267,-62665.10151178912,118069.05521984774
208,4287.708999206538,-94600.78258590648,1154526.7008293902,-62773.454917048504,118498.61327608154
209,4307.961844620079,-94618.17872972203,1206683.5495322505,-62892.444477129815,118867.74150699441
210,4323.628458729227,-94444.7482431511,1203792.066330812,-62990.8480374207,119177.66420629252
211,4344.1212391270265,-94115.51390488647,1130769.5920009573,-63076.625250469246,119462.17229831089
212,4363.739563649292,-94696.84016389964,1110786.770299081,-63181.77786271837,119944.88784983516
213,4385.573784966556,-94940.6853171572,1100781.6197365958,-63258.76348296621,120270.57892687476
214,4403.6712940611515,-94779.70391843759,1101653.7905476138,-63341.4139575377,120653.44314985626
215,4426.214332310723,-94857.44012372922,1146037.7983373618,-63459.56429764616,120866.90312456328
216,4450.5137753623485,-94990.13326557272,1108754.611946387,-63554.01820201865,121185.95493007271
217,4466.251916006743,-94664.66310312349,1114590.6583362794,-63630.67017938196,121558.2736720934
218,4494.184601889894,-94983.63323348705,1058673.9514674677,-63726.86309395456,121952.72499913855
219,4513.359020879475,-95079.56246823496,1144651.5160527872,-63828.15655139138,122335.40128278834
220,4527.299690499488,-95116.69828898656,1264391.7036413837,-63930.91331853936,122840.16156052258
221,4543.1925329996975,-94837.55615401371,1274727.1530578814,-64024.82792732108,123016.798725168
222,4566.773926848906,-95274.60991679388,1261893.6381249172,-64127.368025378935,123403.45359105692
223,4580.922916717742,-95561.80977986635,1401290.3739236433,-64206.48165187226,123750.081835998
224,4607.318155598763,-95634.00628010897,1390342.073821299,-64303.32683864279,124158.0382144235
225,4621.486694000398,-95659.59295094984,1314269.4177613454,-64394.64974337389,124520.8693493189
226,4639.1284553941005,-95932.19904185268,1395937.9988663539,-64475.68141027218,124702.13204120824
227,4660.0470299423305,-95631.88028893423,1470733.9075620794,-64572.83849677422,125113.38639865424
228,4682.164753785739,-95622.73762834602,1422308.9972207004,-64644.56998835083,125475.39679565962
229,4706.99639851225,-95513.20956017598,1477089.762046676,-64734.527564092954,125972.47846359541
230,4725.446218901071,-95828.26464266631,1434404.2759572864,-64822.977688173654,126280.87945215825
231,4749.292502228537,-95785.27861912054,1396004.3062308892,-64902.67720464727,126680.13632353462
232,4766.195040414235,-95686.9504267751,1407040.904823563,-65031.09176529607,127096.21856495323
233,4780.880332076117,-95246.7650168322,1373742.0456585484,-65099.12476924263,127459.17300803024
234,4796.476034796646,-95088.65958505396,1431349.864307036,-65209.99355240033,127736.39840335284
235,4815.389242035527,-95041.63911717033,1368987.5978453986,-65281.90031952718,128101.7239454362
236,4842.167124216481,-94971.38568374568,1217050.7057015598,-65358.025697041114,128437.43793369064
237,4859.776799763574,-95066.65939386791,1229203.7751354529,-65446.801198400695,128793.44370598873
238,4876.948324987861,-95364.72030250121,1255800.5661092896,-65518.68959553205,129102.79007709512
239,4898.013637213911,-95236.39021635609,1263388.1429822606,-65615.48187265769,129331.9195874943
240,4924.340574511388,-95323.674662226,1284013.4106985396,-65726.6017727075,129797.85009475889
241,4948.766460591651,-95091.27193214784,1364034.5802680182,-65830.4597972059,130086.79490934
242,4969.123119705022,-95122.68819606726,1348351.1019005561,-65913.87213277885,130382.33272641589
243,4981.851146639476,-95457.73978742618,1381902.3559838645,-65997.74881224522,130795.93447057766
244,4997.95313024954,-95831.89388474789,1386087.4759009415,-66094.95979044781,130969.82703031825
245,5017.48301028323,-95766.81665908496,1484612.1985110743,-66154.92091953271,131303.047361788
246,5032.70803403629,-95749.23882655009,1508430.1058223632,-66214.98138851287,131536.28836331645
247,5055.095721818595,-95778.07513828765,1514779.1868391656,-66308.69081965789,131760.01770115033
248,5075.664323795173,-95974.87765445154,1475458.2922438642,-66400.21356842024,132163.19163781166
249,5098.7776612086045,-95864.21767696473,1481774.671265972,-66501.42030697306,132390.74720621778
250,5109.065358356093,-95993.85098241332,1455502.2804330694,-66573.3480529401,132905.67447154247
251,5131.900620422112,-95878.425570265,1492634.9634006415,-66678.58417890932,133161.8085597865
